grupo,split,hora,tempo_viagem_min,distancia_km,confianca_emocao,paradas,tempo_sem_parada_min,classe_imagem,emocao,decisao,origem
0,treino,11,44.52252919881654,291.938,0.4969351122820857,1,40.459,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
0,treino,11,44.52252919881654,293.947,0.4969351122820857,1,44.523,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
0,treino,11,44.52252919881654,297.233,0.4969351122820857,1,44.523,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
1,treino,22,198.45422561414193,90.811,0.7035594103255451,0,15.4,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
1,treino,22,198.45422561414193,86.976,0.7035594103255451,0,17.968,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
1,treino,22,198.45422561414193,86.616,0.7035594103255451,0,17.023,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
2,teste,1,264.0547842763053,215.778,0.9338694583876224,3,81.27,estrada,desconhecido,CONTINUAR,sintetico
2,teste,1,264.0547842763053,213.108,0.9338694583876224,3,74.338,estrada,desconhecido,CONTINUAR,sintetico
2,teste,1,264.0547842763053,210.187,0.9338694583876224,3,79.028,estrada,desconhecido,CONTINUAR,sintetico
3,treino,9,354.753639834569,340.775,0.8698902000531618,3,224.213,restaurante,IRRITADO,DESCANSAR,sintetico
3,treino,9,354.753639834569,339.222,0.8698902000531618,3,223.181,restaurante,IRRITADO,DESCANSAR,sintetico
3,treino,9,354.753639834569,346.494,0.8698902000531618,3,226.992,restaurante,IRRITADO,DESCANSAR,sintetico
4,treino,19,230.4172923099564,215.056,0.49688655509085566,3,228.573,natureza,TRISTE,DESCANSAR,sintetico
4,treino,19,230.4172923099564,215.502,0.49688655509085566,3,230.417,natureza,TRISTE,DESCANSAR,sintetico
4,treino,19,230.4172923099564,216.416,0.49688655509085566,3,225.294,natureza,TRISTE,DESCANSAR,sintetico
5,treino,14,290.79125927378107,164.611,0.38971316312692833,4,35.195,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
5,treino,14,290.79125927378107,158.115,0.38971316312692833,4,33.073,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
5,treino,14,290.79125927378107,161.08,0.38971316312692833,4,33.234,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
6,treino,18,157.0940086895758,229.942,0.5671978662281665,1,74.099,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
6,treino,18,157.0940086895758,235.218,0.5671978662281665,1,78.463,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
6,treino,18,157.0940086895758,232.261,0.5671978662281665,1,78.458,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
7,teste,14,192.83559251019364,388.801,0.8664678213406988,0,129.126,desconhecido,NEUTRO,DESCANSAR,sintetico
7,teste,14,192.83559251019364,389.841,0.8664678213406988,0,127.574,desconhecido,NEUTRO,DESCANSAR,sintetico
7,teste,14,192.83559251019364,387.779,0.8664678213406988,0,130.995,desconhecido,NEUTRO,DESCANSAR,sintetico
8,treino,23,315.92779383425886,103.34,0.650351667830179,1,276.411,ponto turístico,NEUTRO,DESCANSAR,sintetico
8,treino,23,315.92779383425886,106.445,0.650351667830179,1,271.549,ponto turístico,NEUTRO,DESCANSAR,sintetico
8,treino,23,315.92779383425886,107.981,0.650351667830179,1,275.415,ponto turístico,NEUTRO,DESCANSAR,sintetico
9,treino,16,331.0651905104743,236.987,0.6431634248173688,0,79.948,restaurante,TRISTE,CONTINUAR,sintetico
9,treino,16,331.0651905104743,235.365,0.6431634248173688,0,81.593,restaurante,TRISTE,CONTINUAR,sintetico
9,treino,16,331.0651905104743,242.738,0.6431634248173688,0,84.054,restaurante,TRISTE,CONTINUAR,sintetico
10,teste,14,276.87122240398065,55.646,0.6351694268592387,4,89.345,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
10,teste,14,276.87122240398065,53.255,0.6351694268592387,4,88.922,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
10,teste,14,276.87122240398065,50.347,0.6351694268592387,4,88.51,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
11,treino,11,160.52552978964894,202.102,0.4226025175209594,1,55.038,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
11,treino,11,160.52552978964894,202.619,0.4226025175209594,1,48.634,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
11,treino,11,160.52552978964894,202.344,0.4226025175209594,1,51.264,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
12,treino,16,89.4916452009933,265.021,0.4785420844222631,1,51.296,desconhecido,desconhecido,CONTINUAR,sintetico
12,treino,16,89.4916452009933,266.662,0.4785420844222631,1,47.509,desconhecido,desconhecido,CONTINUAR,sintetico
12,treino,16,89.4916452009933,269.181,0.4785420844222631,1,50.109,desconhecido,desconhecido,CONTINUAR,sintetico
13,treino,13,170.7937571530196,294.636,0.7540187283759809,0,120.467,estrada,IRRITADO,DESCANSAR,sintetico
13,treino,13,170.7937571530196,288.546,0.7540187283759809,0,124.737,estrada,IRRITADO,DESCANSAR,sintetico
13,treino,13,170.7937571530196,288.032,0.7540187283759809,0,121.209,estrada,IRRITADO,DESCANSAR,sintetico
14,treino,14,93.68128899814567,369.712,0.6158784470320742,4,56.241,estrada,NEUTRO,CONTINUAR,sintetico
14,treino,14,93.68128899814567,365.239,0.6158784470320742,4,63.629,estrada,NEUTRO,CONTINUAR,sintetico
14,treino,14,93.68128899814567,366.67,0.6158784470320742,4,60.158,estrada,NEUTRO,CONTINUAR,sintetico
15,treino,14,80.88029121570949,162.382,0.38518123998330733,3,27.977,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
15,treino,14,80.88029121570949,163.25,0.38518123998330733,3,27.291,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
15,treino,14,80.88029121570949,160.283,0.38518123998330733,3,22.571,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
16,treino,6,348.8918245640514,231.75,0.6753171208245645,2,8.633,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
16,treino,6,348.8918245640514,227.357,0.6753171208245645,2,0.799,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
16,treino,6,348.8918245640514,235.29,0.6753171208245645,2,4.157,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
17,treino,18,92.40644846496183,235.971,0.7216289061992618,3,49.838,desconhecido,desconhecido,CONTINUAR,sintetico
17,treino,18,92.40644846496183,239.505,0.7216289061992618,3,50.372,desconhecido,desconhecido,CONTINUAR,sintetico
17,treino,18,92.40644846496183,235.464,0.7216289061992618,3,48.539,desconhecido,desconhecido,CONTINUAR,sintetico
18,treino,20,111.49896332856059,127.101,0.8011186954486412,0,65.258,estrada,IRRITADO,DESCANSAR,sintetico
18,treino,20,111.49896332856059,126.847,0.8011186954486412,0,69.317,estrada,IRRITADO,DESCANSAR,sintetico
18,treino,20,111.49896332856059,122.795,0.8011186954486412,0,67.749,estrada,IRRITADO,DESCANSAR,sintetico
19,treino,2,317.1409360820127,152.683,0.44464809941433914,4,195.528,desconhecido,TRISTE,DESCANSAR,sintetico
